Id,PostTypeId,AcceptedAnswerId,ParentId,CreationDate,DeletionDate,Score,ViewCount,Body,OwnerUserId,OwnerDisplayName,LastEditorUserId,LastEditorDisplayName,LastEditDate,LastActivityDate,Title,Tags,AnswerCount,CommentCount,FavoriteCount,ClosedDate,CommunityOwnedDate,Count,Modified
2718296,2,,2718183,2010-04-27T02:09:32,,0,,"<p>With the :: operator you can call only the static methods or access to the static variables/constants of a class.<br> &#xA;The proper way is className::method() or className::publicVariable. Inside the static methods you can't refer to this because it's not called on a object, but from a non-static method you can access to a static varibale.</p>&#xA;&#xA;<p>Anyway, the only new feature of PHP 5.3 about the <a href=""http://au.php.net/manual/en/language.oop5.paamayim-nekudotayim.php"" rel=""nofollow noreferrer"">:: operator</a> is the ability to use a $string that contains the className.</p>&#xA;&#xA;<p>Post please the revelant part of the code</p>&#xA;",320926,,,,,2010-04-27T02:09:32,,,,0,,,,1,1
43766283,2,,43766186,2017-05-03T17:14:42,,2,,"<p>If you want the text after a <code>span</code> element with a specific text - you can find the <code>span</code> element by text first and then get the <a href=""https://www.crummy.com/software/BeautifulSoup/bs4/doc/#next-sibling-and-previous-sibling"" rel=""nofollow noreferrer""><code>.next_sibling</code></a>:</p>&#xA;&#xA;<pre><code>soup.find(""span"", text=""Current Status"").next_sibling&#xA;</code></pre>&#xA;&#xA;<p>If, though you want to loop over all the <code>span</code> elements and for each <code>span</code> element get the next text sibling:</p>&#xA;&#xA;<pre><code>from bs4 import BeautifulSoup, NavigableString&#xA;&#xA;for span in soup.find_all(""span""):&#xA;    next_text = span.next_sibling&#xA;    if isinstance(next_text, NavigableString):&#xA;        print(next_text)&#xA;</code></pre>&#xA;",771848,,771848,,2017-05-03T17:21:28,2017-05-03T17:21:28,,,,0,,,,2,1
24959166,1,,,2014-07-25T15:23:16,,1,360,"<p>I'm having trouble performing a certain aggregation on a nested field.</p>&#xA;&#xA;<p>I have a field of nested type, that holds an array of object. What I want to do is this:</p>&#xA;&#xA;<p>Aggregate on the field to find all the nested documents that contain a certain value, then reverse-nest back to the root, giving me the entire set of root documents which have the nested field object I'm looking for.</p>&#xA;&#xA;<p>Then, further aggregate on that set of documents, against the same nested field, this time against a different value. </p>&#xA;&#xA;<p>The purpose is to build something like a funnel, where I keep narrowing down the aggregation with more and more criteria, based on that nested field.</p>&#xA;&#xA;<p>What appears to happen though is that when perform my second nested agg, itself with a nested->reverse_nested agg, it looks as though it can't see any of nested fields anymore. If you run this simple CURL, looks at the value of 'into_nested_again'. It's 0, but it should be 3, just like the value of the original 'into_nested' agg. I suppose I can work around this by building completely separate aggregations and AND filters, but it would be much less clean and difficult to parse. Is this a bug or am I missing something?</p>&#xA;&#xA;<pre><code>curl -XDELETE ""http://localhost:9200/nested-test""&#xA;&#xA;curl -XPUT ""http://localhost:9200/nested-test"" -d'&#xA;{&#xA;  ""mappings"": {&#xA;    ""my_type"": {&#xA;      ""properties"": {&#xA;        ""my_nested_field"": {&#xA;          ""type"": ""nested""&#xA;       }&#xA;      } &#xA;&#xA;    }&#xA;  }&#xA;}'&#xA;&#xA;curl -XPOST ""http://localhost:9200/nested-test/my_type"" -d'&#xA;{&#xA;  ""my_nested_field"" : [&#xA;    {&#xA;      ""my_key"": ""value1""&#xA;    }&#xA;  ]&#xA;}'&#xA;&#xA;curl -XPOST ""http://localhost:9200/nested-test/my_type"" -d'&#xA;{&#xA;  ""my_nested_field"" : [&#xA;    {&#xA;      ""my_key"": ""value1""&#xA;    },&#xA;    {&#xA;      ""my_key"": ""value2""&#xA;    }&#xA;  ]&#xA;}'&#xA;&#xA;curl -XGET ""http://localhost:9200/nested-test/_search"" -d'&#xA;{&#xA;  ""aggs"": {&#xA;    ""into_nested"": {&#xA;      ""nested"": {&#xA;        ""path"": ""my_nested_field""&#xA;      },&#xA;      ""aggs"": {&#xA;        ""by_value1"": {&#xA;          ""filter"": {&#xA;            ""term"": {&#xA;              ""my_nested_field.my_key"": ""value1""&#xA;            }&#xA;          },&#xA;          ""aggs"": {&#xA;            ""by_parent"": {&#xA;              ""reverse_nested"": {}&#xA;              , ""aggs"": {&#xA;                ""into_nested_again"": {&#xA;                  ""nested"": {&#xA;                    ""path"": ""my_nested_field""&#xA;                  }&#xA;                }&#xA;              }&#xA;            }&#xA;          }&#xA;        }&#xA;      }&#xA;    }&#xA;  }&#xA;}'&#xA;</code></pre>&#xA;",248368,,,,,2014-07-25T17:34:02,unable to re-nest on same field after reverse nesting,<elasticsearch><aggregate>,1,0,1,,,2,1
48925175,2,,48924970,2018-02-22T10:34:02,,0,,"<p>For finding common phrases in sentence you can use <a href=""https://radimrehurek.com/gensim/models/phrases.html"" rel=""nofollow noreferrer"">Gensim Phrase (collocation) detection</a></p>&#xA;&#xA;<p>But if you want to detect unusual phrases maybe you will <strong><em>describe some part of speech combination patterns with RegEx</em></strong> and <strong><em>doing POS tagging on input sentence</em></strong> you will be able to <strong>extract</strong> unseen words(phrases) which match with your pattern.</p>&#xA;",3904576,,,,,2018-02-22T10:34:02,,,,0,,,,1,1
47902316,2,,47902249,2017-12-20T09:08:15,,0,,"<p>You can simply test <code>if ( test != NULL &amp;&amp; test-&gt;isVisible() )</code>.</p>&#xA;&#xA;<p>This will be evaluated to <code>true</code> if dialog was created and is now visible (note that it may return false if you called <code>show()</code> but the app did not show it yet).</p>&#xA;&#xA;<p>As commented, make sure you set <code>test</code> to NULL upon class initialization.</p>&#xA;",3336423,,3336423,,2017-12-20T10:52:56,2017-12-20T10:52:56,,,,2,,,,4,1
1207651,2,,1207633,2009-07-30T16:12:33,,0,,<p>Presumably the file is there from a previous successful run?</p>&#xA;,118903,,,,,2009-07-30T16:12:33,,,,1,,,,2,1
3345037,2,,3344974,2010-07-27T15:10:01,,0,,<p>Well your example unsets every element which is not divisible by 3. Now in this <code>$arr[$x+1] += 1;</code> You are increasing value by one and in the next iteration it will be unset since it is not divisible by 3. </p>&#xA;,388350,,,,,2010-07-27T15:10:01,,,,0,,,,1,1
46479539,2,,46478891,2017-09-28T23:07:39,,1,,"<p>In this case, it is more convenient to first define the unbounded version of the function, and then prove a lemma showing that when <code>n &lt; 10</code> (or <code>n &lt; 32</code>, even) it is in bounds. </p>&#xA;&#xA;<pre><code>function pow2(n: nat): int&#xA;{&#xA;  if n == 0 then 1 else 2 * pow2(n - 1)&#xA;}&#xA;&#xA;lemma pow2Bounds(n: nat)&#xA;    requires n &lt; 32&#xA;    ensures 0 &lt;= pow2(n) &lt; 0x100000000&#xA;{ /* omitted here; two proofs given below */ }&#xA;&#xA;function pow2u32(n: u32): u32&#xA;    requires n &lt; 32&#xA;{&#xA;    pow2Bounds(n as nat);&#xA;    pow2(n as nat) as u32&#xA;}&#xA;</code></pre>&#xA;&#xA;<p>Intuitively, we might expect the lemma to go through automatically, because there are only a small number of cases to consider: <code>n = 0</code>, <code>n = 1</code>, ... <code>n = 31</code>. But Dafny will not perform such case analysis automatically. Instead, we have a couple of options.</p>&#xA;&#xA;<h2>First proof</h2>&#xA;&#xA;<p>First, we can prove a more general property, which, by the magic of inductive reasoning, is <em>easier</em> to prove, despite being stronger than what we need.</p>&#xA;&#xA;<pre><code>lemma pow2Monotone(a: nat, b: nat)&#xA;    requires a &lt; b&#xA;    ensures pow2(a) &lt; pow2(b)&#xA;{}  // Dafny is able to prove this automatically by induction.&#xA;</code></pre>&#xA;&#xA;<p>The lemma then follows.</p>&#xA;&#xA;<pre><code>lemma pow2Bounds(n: nat)&#xA;    requires n &lt; 32&#xA;    ensures 0 &lt;= pow2(n) &lt; 0x100000000&#xA;{&#xA;    pow2Monotone(n, 32);&#xA;}&#xA;</code></pre>&#xA;&#xA;<h2>Second proof</h2>&#xA;&#xA;<p>Another way to prove it is to tell Dafny it should unroll <code>pow2</code> up to 32 times, using a <code>:fuel</code> attribute. These 32 unrollings are essentially the same as asking Dafny to do case analysis on each possible value. Dafny can then complete the proof without additional help.</p>&#xA;&#xA;<pre><code>lemma {:fuel pow2,31,32} pow2Bounds(n: nat)&#xA;    requires n &lt; 32&#xA;    ensures 0 &lt;= pow2(n) &lt; 0x100000000&#xA;{}&#xA;</code></pre>&#xA;&#xA;<p>The <code>:fuel</code> attribute is (lightly) documented in the <a href=""https://github.com/Microsoft/dafny/blob/master/Docs/DafnyRef/out/DafnyRef.pdf"" rel=""nofollow noreferrer"">Dafny Reference Manual</a> in Section 24.</p>&#xA;",438267,,438267,,2017-09-28T23:15:11,2017-09-28T23:15:11,,,,0,,,,2,1
23832464,2,,23831877,2014-05-23T14:58:16,,0,,"<p>You can see this list at <a href=""https://pypi.python.org/simple/raven/"" rel=""nofollow"">https://pypi.python.org/simple/raven/</a>. I'm not aware of any web GUI that shows this.</p>&#xA;",509706,,,,,2014-05-23T14:58:16,,,,0,,,,1,1
20795125,2,,20795065,2013-12-27T05:10:40,,0,,"<p>You need to use <code>break</code> tag to insert a newline character when formatting a String using Html. so replace <code>/n</code> with <code>&lt;br>&lt;/br></code></p>&#xA;&#xA;<pre><code>String myStringCode = ""&lt;big&gt; ""+myCursor.getString(0)+"" &lt;/big&gt; &lt;br&gt;&lt;/br&gt; &lt;small&gt; Adres: ""+myCursor.getString(1)+"" &lt;/small&gt;"";&#xA;</code></pre>&#xA;",2661118,,2661118,,2013-12-27T05:17:57,2013-12-27T05:17:57,,,,4,,,,6,1
7647846,2,,7646821,2011-10-04T12:26:08,,0,,"<p>The solution here is two keep the id-s of the Cities inside State and then you can find the states which have certain id-s inside that array. You can implement difficult logic in there with IN, NIN (not in) keywords, etc.</p>&#xA;&#xA;<p>I really recommend you to watch <a href=""http://www.10gen.com/presentation/mongosf2011/schemabasics"" rel=""nofollow"">this</a> to get into it</p>&#xA;",855959,,,,,2011-10-04T12:26:08,,,,1,,,,2,1
10723290,2,,10722690,2012-05-23T15:34:46,,0,,"<p>Solution 1:&#xA;remove the event once you hit your desired rotation.</p>&#xA;&#xA;<pre><code>public function startSpin(event:Event):void &#xA;{&#xA;    if(mc.rotation == someValue)&#xA;    {&#xA;        removeEventListener(Event.ENTER_FRAME, startSpin);&#xA;    }&#xA;    else&#xA;        mc.rotation+=1;&#xA;}&#xA;</code></pre>&#xA;&#xA;<p>Solution 2:&#xA;Use flash's tweening! &#xA;<a href=""http://help.adobe.com/en_US/FlashPlatform/reference/actionscript/3/fl/transitions/Tween.html"" rel=""nofollow"">http://help.adobe.com/en_US/FlashPlatform/reference/actionscript/3/fl/transitions/Tween.html</a></p>&#xA;&#xA;<p>Solution 3:&#xA;Use a third party tween library. I use Tweener <a href=""http://hosted.zeh.com.br/tweener/docs/en-us/"" rel=""nofollow"">http://hosted.zeh.com.br/tweener/docs/en-us/</a></p>&#xA;",1356401,,,,,2012-05-23T15:34:46,,,,0,,,,1,1
10481872,2,,10481738,2012-05-07T12:13:09,,0,,"<p>Opening the file with <a href=""http://docs.python.org/library/codecs.html#codecs.open"" rel=""nofollow"">codecs.open</a> should fix it.</p>&#xA;",969534,,,,,2012-05-07T12:13:09,,,,2,,,,3,1
6084618,2,,6084529,2011-05-21T21:39:14,,0,,<p>If you use CSS <code>max-width</code> and <code>max-height</code> instance of HTML <code>width</code> and <code>height</code> it don't lose aspect ratio. Try adding <code>style</code> attribute to your image</p>&#xA;,650722,,,,,2011-05-21T21:39:14,,,,0,,,,1,1
43808763,2,,43515215,2017-05-05T15:32:15,,0,,"<p>Ok I solved my problem, apparently the options I tried don't apply to a bar chart generated with the <code>Bar()</code> function.</p>&#xA;&#xA;<p>Here is my solution:</p>&#xA;&#xA;<pre><code>p= figure(plot_width=900, plot_height=400, y_range=(-0.2, 0.5))&#xA;# setting bar values&#xA;h = values&#xA;# Correcting the bottom position of the bars to be on the 0 line.&#xA;adj_h = h/2&#xA;# add bar renderer&#xA;p.rect(x=x, y=adj_h, width=0.8 , height=h)&#xA;</code></pre>&#xA;",5028387,,,,,2017-05-05T15:32:15,,,,0,,,,1,1
14419335,1,,,2013-01-19T22:01:53,,0,304,"<p>im using this CSS code to create a page like an A4 size paper</p>&#xA;&#xA;<pre><code>.box { width:700px; &#xA;height:700px;&#xA;padding:30px;&#xA;border:1px solid black;&#xA;margin:1px;&#xA;display:table; }&#xA;</code></pre>&#xA;&#xA;<p>my problem is:</p>&#xA;&#xA;<p>when i print preview, even if i set settings of printer to reduce and fit, still it makes 2 pages, what script should i make so i can make a fix width and length the same as A4 size paper, i saw some articles that there is no specific pixels that equals to A4 size. but then i just want to make 1 page output.</p>&#xA;&#xA;<p>Thanks.</p>&#xA;",1993666,,,,,2013-01-19T22:44:01,One page CSS print preview,<css>,1,1,1,,,3,1
7961415,2,,7961389,2011-11-01T00:52:36,,0,,"<p>No, it is not possible to copy from assets to raw folder at runtime. Don't ask me why.</p>&#xA;",244296,,,,,2011-11-01T00:52:36,,,,0,,,,1,1
34536764,2,,34536037,2015-12-30T20:28:12,,0,,"<p>Compare your try block in the first sample to the one in the second.</p>&#xA;&#xA;<p>You're missing the username. Is that needed for your insert to work? (We're in the template, so it may be a parameter in your datasource which isn't listed)</p>&#xA;&#xA;<p>You also don't check page.IsValid in the second sample, but if you can hit a breakpoint your page is probably valid.</p>&#xA;",326040,,,,,2015-12-30T20:28:12,,,,0,,,,1,1
11854142,1,11865112,,2012-08-07T21:05:16,,0,140,"<p>I have a Python application using PyGTK.  If the title of the main window is ""Foo"", ""Foo"" will be displayed in GNOME's window list.  As the window list is currently configured, it will always group windows from the same application.  When I open a modal window on top of the main, the title in the window list changes to ""foo.py"" or whatever the Python script is named.  When windows aren't grouped, the two windows appear as ""Foo"" and ""Bar"" in the list.</p>&#xA;&#xA;<p>How can I control what is displayed in the window list when the windows are grouped?</p>&#xA;",480655,,,,,2012-08-09T14:54:21,Grouped windows show script name instead of title in window list,<python><gtk><pygtk><gnome>,1,0,,,,2,1
18277184,2,,18277133,2013-08-16T15:39:32,,0,,"<p>From an OOP approach, each loop could be represented by a ""Loop"" object - this object would have the ability to be constructed while containing another instance of itself. You could then theoretically nest these as deep as you need to.</p>&#xA;&#xA;<p>Loop1 would execute Loop2 would execute Loop3.. and onwards.</p>&#xA;",2686650,,,,,2013-08-16T15:39:32,,,,0,,,,1,1
13564690,2,,12205396,2012-11-26T12:17:10,,0,,"<p>OKFN's annotator provides imho a good basis for what you are trying to accomplish <a href=""http://okfn.github.com/annotator/"" rel=""nofollow"">http://okfn.github.com/annotator/</a> </p>&#xA;",302521,,,,,2012-11-26T12:17:10,,,,0,,,,1,1
3182049,1,3182112,,2010-07-05T20:43:17,,2,586,"<p>I read <a href=""http://javadude.com/articles/passbyvalue.htm"" rel=""nofollow noreferrer"">this excellent article</a> and it make sense: Java is strictly pass by value; when an object is a parameter, the <em>object's reference is passed by value</em>.  </p>&#xA;&#xA;<p>However, I'm totally confused as to why the following snippet could possibly work.&#xA;<code>Foo</code> has a String member variable <code>a</code> which is immutable and needs to be burned in every time.&#xA;The first method of burning (commented out) should work fine and it does.&#xA;The second method set's <code>a</code>'s reference to the value that was passed.  It should not work if <code>newstr</code> is a temporary variable.  The expected output results are:</p>&#xA;&#xA;<pre><code>Totally temp&#xA;NULL&#xA;</code></pre>&#xA;&#xA;<p>However, I get </p>&#xA;&#xA;<pre><code>Totally temp&#xA;Totally temp&#xA;</code></pre>&#xA;&#xA;<p>Why?  Is it just pure luck that the temporary variable reference is still good?</p>&#xA;&#xA;<pre><code>public class Foo {&#xA;    String a;&#xA;    public Foo(){}&#xA;    public void burna(String newstr){&#xA;           // a = new String(newstr);&#xA;           a = newstr; /*this should not work: */ &#xA;        }&#xA;}&#xA;&#xA;public class foobar {&#xA;    Foo m_foo;&#xA;    public foobar(){};&#xA;    public void dofoo(){&#xA;        String temp = new String(""Totally temp\n"");&#xA;        m_foo.burna(temp);&#xA;        System.out.print(m_foo.a);&#xA;    }&#xA;&#xA;}&#xA;&#xA; public static void main(String[] args) {&#xA;        Foo myfoo = new Foo();&#xA;        foobar myfoobar = new foobar();&#xA;&#xA;        myfoobar.m_foo = myfoo;&#xA;        myfoobar.dofoo();&#xA;        System.out.print(myfoo.a);&#xA;&#xA;    }&#xA;</code></pre>&#xA;",349043,,,,,2013-10-21T11:10:55,Java pass by value -- can you explain this?,<java><reference>,6,4,,,,6,1
23829901,2,,23825701,2014-05-23T12:56:51,,0,,"<p>For the simplest case, you need to edit the post thumbnail code (inside the loop obviously) where you want to make this change.</p>&#xA;&#xA;<pre><code>if ( has_post_thumbnail() ) {&#xA;&#xA;    $image_link  = wp_get_attachment_image_src( get_post_thumbnail_id() );&#xA;    $your_test_image_link = ''; // this is the full url to the test image&#xA;    if( $image_link == $your_test_image_link ){&#xA;        echo '&lt;img src=""'.$image_link.'"" style=""width:100px""&gt;';&#xA;    }&#xA;    else{&#xA;        the_post_thumbnail();&#xA;    }&#xA;}&#xA;</code></pre>&#xA;&#xA;<p>If you want this to everywhere you might want to hook to the <code>wp_get_attachment_image_attributes</code> and place it in the <code>functions.php</code> file</p>&#xA;&#xA;<pre><code>add_filter('wp_get_attachment_image_attributes','23825701_custom_wp_get_attachment_image_attributes');&#xA;&#xA;function 23825701_custom_wp_get_attachment_image_attributes($attr, $attachment){&#xA;&#xA;    $image_link  = wp_get_attachment_image_src( $attachment );&#xA;    $your_test_image_link = ''; // this is the full url to the test image&#xA;&#xA;    if( $image_link == $your_test_image_link ){&#xA;        $attr['style'] = 'width:100px'; // your custom attribute, hence style&#xA;        return $attr;&#xA;    }&#xA;    return $attr;&#xA;}&#xA;</code></pre>&#xA;",1330083,,1287812,,2014-05-23T13:04:28,2014-05-23T13:04:28,,,,0,,,,2,1
