Id,PostTypeId,AcceptedAnswerId,ParentId,CreationDate,DeletionDate,Score,ViewCount,OwnerUserId,OwnerDisplayName,LastEditorUserId,LastEditorDisplayName,LastEditDate,LastActivityDate,AnswerCount,CommentCount,FavoriteCount,ClosedDate,CommunityOwnedDate,Count,Modified
2718296,2,,2718183,2010-04-27T02:09:32,,0,,320926,,,,,2010-04-27T02:09:32,,0,,,,1,1
43766283,2,,43766186,2017-05-03T17:14:42,,2,,771848,,771848,,2017-05-03T17:21:28,2017-05-03T17:21:28,,0,,,,2,1
24959166,1,,,2014-07-25T15:23:16,,1,360,248368,,,,,2014-07-25T17:34:02,1,0,1,,,2,1
48925175,2,,48924970,2018-02-22T10:34:02,,0,,3904576,,,,,2018-02-22T10:34:02,,0,,,,1,1
47902316,2,,47902249,2017-12-20T09:08:15,,0,,3336423,,3336423,,2017-12-20T10:52:56,2017-12-20T10:52:56,,2,,,,4,1
1207651,2,,1207633,2009-07-30T16:12:33,,0,,118903,,,,,2009-07-30T16:12:33,,1,,,,2,1
3345037,2,,3344974,2010-07-27T15:10:01,,0,,388350,,,,,2010-07-27T15:10:01,,0,,,,1,1
46479539,2,,46478891,2017-09-28T23:07:39,,1,,438267,,438267,,2017-09-28T23:15:11,2017-09-28T23:15:11,,0,,,,2,1
23832464,2,,23831877,2014-05-23T14:58:16,,0,,509706,,,,,2014-05-23T14:58:16,,0,,,,1,1
20795125,2,,20795065,2013-12-27T05:10:40,,0,,2661118,,2661118,,2013-12-27T05:17:57,2013-12-27T05:17:57,,4,,,,6,1
7647846,2,,7646821,2011-10-04T12:26:08,,0,,855959,,,,,2011-10-04T12:26:08,,1,,,,2,1
10723290,2,,10722690,2012-05-23T15:34:46,,0,,1356401,,,,,2012-05-23T15:34:46,,0,,,,1,1
10481872,2,,10481738,2012-05-07T12:13:09,,0,,969534,,,,,2012-05-07T12:13:09,,2,,,,3,1
6084618,2,,6084529,2011-05-21T21:39:14,,0,,650722,,,,,2011-05-21T21:39:14,,0,,,,1,1
43808763,2,,43515215,2017-05-05T15:32:15,,0,,5028387,,,,,2017-05-05T15:32:15,,0,,,,1,1
14419335,1,,,2013-01-19T22:01:53,,0,304,1993666,,,,,2013-01-19T22:44:01,1,1,1,,,3,1
7961415,2,,7961389,2011-11-01T00:52:36,,0,,244296,,,,,2011-11-01T00:52:36,,0,,,,1,1
34536764,2,,34536037,2015-12-30T20:28:12,,0,,326040,,,,,2015-12-30T20:28:12,,0,,,,1,1
11854142,1,11865112,,2012-08-07T21:05:16,,0,140,480655,,,,,2012-08-09T14:54:21,1,0,,,,2,1
18277184,2,,18277133,2013-08-16T15:39:32,,0,,2686650,,,,,2013-08-16T15:39:32,,0,,,,1,1
13564690,2,,12205396,2012-11-26T12:17:10,,0,,302521,,,,,2012-11-26T12:17:10,,0,,,,1,1
3182049,1,3182112,,2010-07-05T20:43:17,,2,586,349043,,,,,2013-10-21T11:10:55,6,4,,,,6,1
23829901,2,,23825701,2014-05-23T12:56:51,,0,,1330083,,1287812,,2014-05-23T13:04:28,2014-05-23T13:04:28,,0,,,,2,1
47410448,2,,47410265,2017-11-21T10:12:50,,0,,8944610,,8944610,,2017-11-21T10:22:58,2017-11-21T10:22:58,,2,,,,4,1
31891016,2,,31825493,2015-08-08T08:01:01,,0,,720773,,,,,2015-08-08T08:01:01,,0,,,,1,1
4855148,2,,4854546,2011-01-31T19:31:54,,0,,581205,,,,,2011-01-31T19:31:54,,0,,,,1,1
45630331,1,,,2017-08-11T08:24:09,,0,26,3354931,,2001468,,2017-08-11T17:46:18,2017-08-11T17:46:18,0,2,,,,6,1
45505090,2,,45501136,2017-08-04T10:59:35,,0,,7152407,,7152407,,2017-08-09T12:49:02,2017-08-09T12:49:02,,10,,,,13,1
48957660,2,,48957636,2018-02-23T23:32:00,,2,,6314639,,6314639,,2018-02-23T23:56:13,2018-02-23T23:56:13,,0,,,,4,1
33601420,1,,,2015-11-09T02:06:28,,0,69,5258731,,,,,2015-11-09T02:06:28,0,3,,,,5,1
25017805,1,25017853,,2014-07-29T14:26:01,,0,43,3067928,,,,,2014-07-29T14:39:22,2,1,,,,3,1
25315154,1,,,2014-08-14T18:30:19,,0,35,3774630,,-1,,2017-05-23T12:29:27,2014-08-14T20:25:50,0,2,,2014-08-14T18:31:41,,9,1
9108704,2,,9108671,2012-02-02T07:41:31,,0,,,user647772,,,,2012-02-02T07:41:31,,0,,,,1,1
2068473,1,2384015,,2010-01-15T00:04:59,,1,579,251174,,,,,2010-03-05T01:40:37,2,0,,,,2,1
21873807,2,,21765156,2014-02-19T07:28:17,,1,,1701563,,,,,2014-02-19T07:28:17,,0,,,,1,1
13115893,1,13118673,,2012-10-29T04:34:26,,0,237,136088,,,,,2012-10-29T09:14:02,1,2,,,,4,1
25058977,1,25087341,,2014-07-31T12:34:10,,3,3635,671457,,,,,2017-06-13T15:17:09,3,0,,,,2,1
25350661,1,25351288,,2014-08-17T15:28:34,,0,97,3622856,,466862,,2014-08-17T15:58:52,2014-08-17T16:39:32,1,2,,,,6,1
29067509,1,,,2015-03-15T23:31:13,,0,79,3924242,,,,,2015-03-16T06:19:25,1,2,,,,4,1
5843256,2,,1551240,2011-04-30T16:53:46,,0,,440080,,701988,,2012-01-02T07:34:37,2012-01-02T07:34:37,,0,,,,2,1
24739981,2,,24737961,2014-07-14T15:21:00,,0,,1679011,,,,,2014-07-14T15:21:00,,0,,,,1,1
8589323,2,,8589238,2011-12-21T11:49:34,,0,,1084608,,,,,2011-12-21T11:49:34,,1,,,,2,1
14299837,1,14299922,,2013-01-13T01:41:06,,1,203,1580269,,871434,,2013-01-13T01:46:52,2013-01-13T01:58:53,1,3,,,,5,1
24191703,1,,,2014-06-12T18:42:57,,-1,48,2783275,,,,,2014-06-12T18:44:09,1,0,0,2014-06-12T19:03:48,,2,1
18835016,2,,11606007,2013-09-16T18:41:58,,0,,2066428,,,,,2013-09-16T18:41:58,,7,,,,8,1
15665167,2,,15619503,2013-03-27T17:15:09,,0,,494643,,,,,2013-03-27T17:15:09,,0,,,,1,1
10664952,2,,10663995,2012-05-19T11:54:18,,0,,617576,,,,,2012-05-19T11:54:18,,0,,,,1,1
25014757,1,25236755,,2014-07-29T11:57:59,,0,959,626748,,-1,,2017-05-23T12:05:00,2014-08-11T06:05:00,1,1,,,,4,1
22381241,2,,22381166,2014-03-13T14:11:40,,0,,1174001,,,,,2014-03-13T14:11:40,,0,,,,1,1
11050729,2,,11050562,2012-06-15T12:34:00,,0,,748858,,748858,,2012-06-15T13:15:08,2012-06-15T13:15:08,,0,,,,2,1
20708369,2,,20699938,2013-12-20T16:52:44,,0,,2903653,,,,,2013-12-20T16:52:44,,0,,,,1,1
3869105,2,,109631,2010-10-06T02:22:24,,0,,467488,,,,,2010-10-06T02:22:24,,1,,,,2,1
7977678,1,,,2011-11-02T08:49:18,,0,555,481554,,639654,,2011-11-02T09:41:44,2011-11-02T12:40:25,1,2,,,,4,1
26330919,2,,26330847,2014-10-12T23:04:39,,3,,3030305,,3030305,,2014-10-12T23:55:03,2014-10-12T23:55:03,,2,,,,8,1
21893296,2,,21893218,2014-02-19T21:52:41,,0,,3140846,,,,,2014-02-19T21:52:41,,0,,,,1,1
6555542,2,,6555523,2011-07-02T06:48:36,,2,,67153,,,,,2011-07-02T06:48:36,,0,,,,1,1
47189960,2,,47177945,2017-11-08T21:26:46,,0,,5221944,,,,,2017-11-08T21:26:46,,0,,,,1,1
14870258,1,,,2013-02-14T08:01:51,,1,70,1314871,,,,,2013-05-09T00:44:37,1,0,,,,2,1
1892886,1,1896221,,2009-12-12T09:35:37,,1,354,80932,,1419007,,2012-06-01T16:14:17,2012-06-01T16:14:17,2,0,,,,4,1
49569938,1,49569990,,2018-03-30T07:04:17,,0,24,5107383,,148601,,2018-03-30T07:10:38,2018-03-30T08:32:16,2,1,,2018-03-30T08:32:03,,4,1
15832583,2,,14670040,2013-04-05T11:19:50,,0,,1761233,,,,,2013-04-05T11:19:50,,0,,,,1,1
38218390,2,,11825984,2016-07-06T07:27:08,,0,,6554919,,,,,2016-07-06T07:27:08,,0,,,,1,1
24950962,1,24957907,,2014-07-25T08:08:09,,0,80,1490386,,,,,2014-07-25T14:19:30,1,0,,,,2,1
20836076,2,,20835765,2013-12-30T08:41:24,,0,,1952610,,,,,2013-12-30T08:41:24,,3,,,,4,1
11711728,2,,11711606,2012-07-29T18:11:26,,0,,1447795,,,,,2012-07-29T18:11:26,,0,,,,1,1
21793224,2,,21793085,2014-02-15T04:03:28,,1,,670396,,-1,,2017-04-12T07:31:22,2014-02-15T04:21:09,,0,,,,4,1
9539891,2,,9539832,2012-03-02T20:27:56,,1,,276250,,,,,2012-03-02T20:27:56,,0,,,,1,1
18320565,2,,18317566,2013-08-19T18:27:27,,1,,783657,,,,,2013-08-19T18:27:27,,0,,,,1,1
7039797,2,,6954678,2011-08-12T12:03:00,,0,,891691,,,,,2011-08-12T12:03:00,,0,,,,1,1
25068656,1,,,2014-07-31T20:48:35,,1,250,3897194,,,,,2014-08-01T14:00:50,1,0,,,,2,1
25207801,2,,25207583,2014-08-08T16:15:12,,1,,3813069,,,,,2014-08-08T16:15:12,,0,,,,1,1
24418806,2,,24326911,2014-06-25T21:21:40,,3,,752832,,,,,2014-06-25T21:21:40,,0,,,,1,1
17249046,2,,17208645,2013-06-22T09:04:04,,0,,1320237,,,,,2013-06-22T09:04:04,,0,,,,1,1
40796280,2,,40795731,2016-11-25T00:51:55,,1,,77567,,,,,2016-11-25T00:51:55,,2,,,,3,1
38970120,2,,38939963,2016-08-16T08:34:07,,1,,5620628,,,,,2016-08-16T08:34:07,,2,,,,3,1
22706126,2,,14654481,2014-03-28T06:54:14,,0,,2338816,,,,,2014-03-28T06:54:14,,0,,,,1,1
38212612,2,,38212422,2016-07-05T20:58:22,,0,,6094057,,,,,2016-07-05T20:58:22,,0,,,,1,1
1635830,1,,,2009-10-28T08:23:34,,1,1206,197908,,,,,2009-10-28T12:12:24,1,0,,,,2,1
35952470,2,,35952024,2016-03-12T01:00:00,,4,,341994,,-1,,2017-05-23T10:28:28,2016-03-12T01:06:53,,1,,,,4,1
32864666,2,,25682548,2015-09-30T11:15:14,,1,,3391339,,,,,2015-09-30T11:15:14,,0,,,,1,1
4945553,2,,4945439,2011-02-09T13:33:57,,2,,34397,,,,,2011-02-09T13:33:57,,5,,,,6,1
23442230,1,,,2014-05-03T08:53:32,,1,62,3582901,,3235496,,2014-05-03T09:51:58,2014-05-03T09:51:58,1,4,2,,,6,1
39975623,2,,18780940,2016-10-11T10:50:29,,0,,5515856,,,,,2016-10-11T10:50:29,,0,,,,1,1
25851991,2,,25851934,2014-09-15T15:49:32,,1,,1424875,,,,,2014-09-15T15:49:32,,0,,,,1,1
7138882,2,,7134483,2011-08-21T14:37:23,,0,,690629,,,,,2011-08-21T14:37:23,,0,,,,1,1
13562355,1,,,2012-11-26T09:55:27,,0,264,1600336,,1600336,,2012-11-26T10:10:09,2012-11-26T10:31:33,1,0,,,,4,1
8487882,2,,8487638,2011-12-13T10:49:07,,0,,962009,,962009,,2011-12-14T20:44:37,2011-12-14T20:44:37,,2,,,,4,1
